Date,Open,High,Low,Close,Volume,Adj Close
2016-07-26,2.85,2.92,2.84,2.88,125019500,2.88
2016-07-25,2.86,2.87,2.84,2.87,60700200,2.87
2016-07-22,2.86,2.87,2.85,2.85,63965500,2.85
2016-07-21,2.86,2.89,2.85,2.87,93103500,2.87
2016-07-20,2.83,2.86,2.83,2.86,70821100,2.86
2016-07-19,2.85,2.87,2.83,2.84,56206900,2.84
2016-07-18,2.86,2.87,2.85,2.87,51626200,2.87
2016-07-15,2.87,2.89,2.85,2.85,103067300,2.85
2016-07-14,2.82,2.87,2.82,2.87,91230600,2.87
2016-07-13,2.85,2.87,2.83,2.85,209538200,2.85
2016-07-12,2.82,2.85,2.80,2.84,96471800,2.84
2016-07-11,2.80,2.82,2.79,2.81,75685100,2.81
2016-07-08,2.76,2.78,2.75,2.77,46867400,2.77
2016-07-07,2.78,2.80,2.76,2.79,41291700,2.79
2016-07-06,2.79,2.80,2.76,2.77,80740500,2.77
2016-07-05,2.86,2.86,2.80,2.82,59958200,2.82
2016-07-04,2.86,2.88,2.82,2.87,95181900,2.87
2016-07-01,2.83,2.83,2.83,2.83,000,2.83
2016-06-30,2.82,2.83,2.80,2.83,147622300,2.83
2016-06-29,2.81,2.81,2.77,2.79,134823400,2.79
2016-06-28,2.90,2.96,2.89,2.95,201233800,2.755
2016-06-27,2.86,2.95,2.86,2.92,160401900,2.727
2016-06-24,2.90,2.97,2.82,2.90,314111000,2.708
2016-06-23,2.95,2.96,2.93,2.95,83540400,2.755
2016-06-22,2.94,2.95,2.88,2.94,130824000,2.746
2016-06-21,2.88,2.94,2.88,2.93,130533800,2.736
2016-06-20,2.82,2.88,2.81,2.87,118306500,2.68
2016-06-17,2.80,2.81,2.78,2.79,112232600,2.606
2016-06-16,2.80,2.81,2.76,2.77,159484900,2.587
2016-06-15,2.79,2.84,2.78,2.81,128379000,2.624
2016-06-14,2.79,2.83,2.79,2.82,85895800,2.634
2016-06-13,2.81,2.83,2.79,2.80,146632800,2.615
2016-06-10,2.95,2.97,2.85,2.86,139656400,2.671
2016-06-09,2.97,2.97,2.97,2.97,000,2.774
2016-06-08,2.95,2.98,2.94,2.97,99957800,2.774
2016-06-07,2.89,2.94,2.88,2.94,111433900,2.746
2016-06-06,2.85,2.88,2.82,2.88,108671000,2.69
