Date,name,Close,bookvalue,PB
2016-11-29,交通银行,5.88,7.49,0.785046728972
2016-11-29,中国银行,3.56,4.38,0.812785388128
2016-11-29,农业银行,3.23,3.79,0.852242744063
2016-11-29,工商银行,4.57,5.21,0.877159309021
2016-11-29,光大银行,4.16,4.67,0.890792291221
2016-11-29,建设银行,5.63,6.21,0.906602254428
2016-11-29,平安银行,9.62,10.38,0.926782273603
2016-11-29,华夏银行,11.76,12.01,0.979184013322
2016-11-29,中信银行,6.92,6.99,0.989985693848
2016-11-29,兴业银行,16.97,16.7,1.01616766467
2016-11-29,民生银行,9.47,8.95,1.05810055866
2016-11-29,浦发银行,17.26,15.26,1.13106159895
2016-11-29,南京银行,11.87,10.17,1.16715830875
2016-11-29,招商银行,18.75,15.72,1.1927480916
2016-11-29,北京银行,10.19,9.3,1.09569892473
