codenumber,Date,bookvalue,changerate
3618,2016-03-31,5.26,0.835
3618,2015-12-31,5.03,0.835
3618,2015-09-30,4.88,0.835
3618,2015-06-30,4.42,0.835
3618,2015-03-31,4.22,0.835
3618,2014-12-31,4.45,0.835
3618,2014-09-30,4.3,0.835
3618,2014-06-30,3.82,0.835
3618,2014-03-31,4.1,0.835
3618,2013-12-31,3.9,0.835
3618,2013-09-30,3.77,0.835
3618,2013-07-01,3.78,0.835
3618,2013-04-01,3.61,0.835
3618,2012-12-31,3.43,0.835
3618,2012-09-28,3.3,0.835
3618,2012-06-29,3.3,0.835
3618,2012-03-30,3.15,0.835
3618,2011-12-30,3,0.835
